Workflow_ID,Process_Name,Task_ID,Task_Type,Priority_Level,Department,Assigned_Employee_ID,Task_Start_Time,Task_End_Time,Estimated_Time_Minutes,Actual_Time_Minutes,Delay_Flag,Approval_Level,Employee_Workload,Cost_Per_Task
WF_29,Invoice Approval,TASK_29,Approval,High,HR,EMP_18,2024-04-29 20:22:00,2024-04-29 22:02:00,73,100,1,Level 1,3,355.81
WF_30,IT Support Ticket,TASK_30,Review,Low,HR,EMP_86,2024-02-07 10:46:00,2024-02-07 16:22:00,236,336,1,Level 3,7,334.2
WF_31,Invoice Approval,TASK_31,Validation,Low,Customer Service,EMP_110,2024-09-01 00:46:00,2024-09-01 04:08:00,88,202,1,Level 2,7,285.27
WF_32,Invoice Approval,TASK_32,Review,High,HR,EMP_44,2024-05-13 10:34:00,2024-05-13 13:49:00,161,195,1,Level 3,10,98.6
WF_33,Purchase Order,TASK_33,Escalation,Critical,HR,EMP_107,2024-11-11 00:00:00,2024-11-11 04:00:00,211,240,1,Level 1,3,181.64
WF_34,HR Onboarding,TASK_34,Review,Low,Customer Service,EMP_21,2024-07-25 15:38:00,2024-07-25 18:35:00,131,177,1,Level 1,9,270.29
WF_35,HR Onboarding,TASK_35,Validation,Low,Operations,EMP_91,2024-09-10 00:50:00,2024-09-10 02:01:00,63,71,1,Level 2,5,384.66
WF_36,Invoice Approval,TASK_36,Escalation,High,IT,EMP_26,2024-09-23 16:04:00,2024-09-23 19:02:00,163,178,1,Level 1,6,194.45
WF_37,Invoice Approval,TASK_37,Data Entry,Low,Operations,EMP_87,2024-11-20 19:28:00,2024-11-20 21:05:00,86,97,1,Level 3,4,94.41
WF_38,HR Onboarding,TASK_38,Validation,High,IT,EMP_147,2024-08-25 06:42:00,2024-08-25 11:01:00,229,259,1,Level 3,2,159.5
WF_39,Invoice Approval,TASK_39,Validation,Low,Finance,EMP_90,2024-02-18 16:12:00,2024-02-18 19:19:00,108,187,1,Level 2,10,376.48
WF_40,Purchase Order,TASK_40,Validation,Medium,Customer Service,EMP_5,2024-01-25 17:32:00,2024-01-25 20:09:00,154,157,1,Level 2,4,388.34
WF_41,Purchase Order,TASK_41,Escalation,High,Finance,EMP_131,2024-11-28 01:01:00,2024-11-28 04:35:00,201,214,1,Level 1,5,291.08
WF_42,Customer Complaint,TASK_42,Validation,High,HR,EMP_138,2024-01-17 17:00:00,2024-01-17 20:46:00,161,226,1,Level 3,7,439.36
WF_43,Invoice Approval,TASK_43,Escalation,Medium,Customer Service,EMP_77,2024-04-24 05:47:00,2024-04-24 08:05:00,111,138,1,Level 1,2,333.11
WF_44,Invoice Approval,TASK_44,Validation,Critical,Finance,EMP_7,2024-06-22 19:43:00,2024-06-23 00:02:00,210,259,1,Level 1,5,474.62
WF_45,IT Support Ticket,TASK_45,Review,Low,Finance,EMP_16,2024-06-20 23:55:00,2024-06-21 01:55:00,62,120,1,Level 1,8,173.69
WF_46,IT Support Ticket,TASK_46,Approval,Low,Finance,EMP_28,2024-11-25 06:34:00,2024-11-25 08:09:00,82,95,1,Level 1,5,170.79
WF_47,HR Onboarding,TASK_47,Validation,High,IT,EMP_94,2024-01-09 00:32:00,2024-01-09 02:56:00,76,144,1,Level 1,6,482.99
WF_48,Invoice Approval,TASK_48,Validation,Low,IT,EMP_55,2024-06-03 04:05:00,2024-06-03 09:32:00,228,327,1,Level 2,3,205.93
WF_49,HR Onboarding,TASK_49,Escalation,Critical,IT,EMP_86,2024-06-24 12:33:00,2024-06-24 15:14:00,83,161,1,Level 1,1,197.84
WF_50,Customer Complaint,TASK_50,Review,High,IT,EMP_16,2024-07-13 01:19:00,2024-07-13 05:24:00,195,245,1,Level 2,6,252.59
WF_51,IT Support Ticket,TASK_51,Approval,High,IT,EMP_53,2024-08-07 02:35:00,2024-08-07 04:36:00,52,121,1,Level 3,1,122.07
WF_52,Purchase Order,TASK_52,Approval,Critical,HR,EMP_121,2024-03-11 13:03:00,2024-03-11 15:29:00,48,146,1,Level 3,2,54.31
WF_53,Purchase Order,TASK_53,Approval,Medium,Operations,EMP_118,2024-07-09 07:25:00,2024-07-09 10:21:00,174,176,1,Level 1,8,322.24
WF_54,Customer Complaint,TASK_54,Review,High,IT,EMP_146,2024-08-12 15:37:00,2024-08-12 17:47:00,67,130,1,Level 1,2,448.59
WF_55,Customer Complaint,TASK_55,Validation,Low,HR,EMP_125,2024-03-24 12:22:00,2024-03-24 16:13:00,183,231,1,Level 3,1,51.05
WF_56,IT Support Ticket,TASK_56,Escalation,Critical,HR,EMP_28,2024-11-25 11:00:00,2024-11-25 13:23:00,71,143,1,Level 1,1,116.5
WF_57,Customer Complaint,TASK_57,Validation,High,Operations,EMP_91,2024-03-04 20:40:00,2024-03-04 21:26:00,42,46,1,Level 1,8,148.44
WF_58,Invoice Approval,TASK_58,Data Entry,Critical,Customer Service,EMP_68,2024-09-03 10:46:00,2024-09-03 11:29:00,40,43,1,Level 3,4,258.24
WF_59,HR Onboarding,TASK_59,Approval,Low,HR,EMP_106,2024-02-08 01:36:00,2024-02-08 03:51:00,70,135,1,Level 3,2,202.6
WF_60,HR Onboarding,TASK_60,Data Entry,Critical,IT,EMP_45,2024-06-11 00:35:00,2024-06-11 04:17:00,187,222,1,Level 3,9,60.36
WF_61,Invoice Approval,TASK_61,Review,High,IT,EMP_101,2024-06-19 16:23:00,2024-06-19 20:05:00,207,222,1,Level 1,5,441.27
WF_62,HR Onboarding,TASK_62,Review,High,Operations,EMP_105,2024-07-20 17:05:00,2024-07-20 18:54:00,88,109,1,Level 2,9,464.98
WF_63,IT Support Ticket,TASK_63,Escalation,Medium,HR,EMP_58,2024-05-19 01:43:00,2024-05-19 06:30:00,192,287,1,Level 3,10,269.71
WF_64,Purchase Order,TASK_64,Approval,Critical,IT,EMP_30,2024-01-06 00:27:00,2024-01-06 02:08:00,22,101,1,Level 1,7,497.43
WF_65,HR Onboarding,TASK_65,Approval,Medium,Customer Service,EMP_146,2024-03-19 23:08:00,2024-03-20 01:23:00,68,135,1,Level 2,9,269.23
WF_66,Customer Complaint,TASK_66,Validation,Medium,Finance,EMP_75,2024-08-28 01:24:00,2024-08-28 04:50:00,180,206,1,Level 1,10,250.3
WF_67,HR Onboarding,TASK_67,Escalation,Low,Customer Service,EMP_20,2024-10-06 22:31:00,2024-10-07 01:31:00,184,180,0,Level 2,9,235.12
WF_68,HR Onboarding,TASK_68,Data Entry,Medium,IT,EMP_67,2024-11-04 19:01:00,2024-11-04 20:14:00,70,73,1,Level 3,2,180.6
WF_69,Invoice Approval,TASK_69,Review,Medium,Customer Service,EMP_124,2024-11-17 02:52:00,2024-11-17 07:21:00,210,269,1,Level 3,9,309.64
WF_70,IT Support Ticket,TASK_70,Approval,Medium,Finance,EMP_135,2024-08-28 15:01:00,2024-08-28 17:22:00,114,141,1,Level 2,2,164.67
WF_71,IT Support Ticket,TASK_71,Review,High,HR,EMP_76,2024-01-03 00:39:00,2024-01-03 05:15:00,174,276,1,Level 3,2,488.9
WF_72,Purchase Order,TASK_72,Data Entry,High,IT,EMP_27,2024-02-16 12:15:00,2024-02-16 14:10:00,109,115,1,Level 2,1,473.42
WF_73,Customer Complaint,TASK_73,Approval,Low,Customer Service,EMP_9,2024-09-01 08:02:00,2024-09-01 09:49:00,99,107,1,Level 1,5,366.29
WF_74,Invoice Approval,TASK_74,Review,High,IT,EMP_26,2024-01-08 11:40:00,2024-01-08 12:12:00,21,32,1,Level 2,3,380.23
WF_75,HR Onboarding,TASK_75,Review,Low,HR,EMP_27,2024-04-02 13:56:00,2024-04-02 16:13:00,65,137,1,Level 2,5,336.77
WF_76,Customer Complaint,TASK_76,Data Entry,Low,Customer Service,EMP_135,2024-03-08 07:07:00,2024-03-08 12:02:00,177,295,1,Level 2,1,54.3
WF_77,HR Onboarding,TASK_77,Escalation,Medium,Customer Service,EMP_71,2024-10-01 14:15:00,2024-10-01 15:42:00,86,87,1,Level 3,9,365.36
WF_78,Customer Complaint,TASK_78,Approval,Low,Finance,EMP_8,2024-03-09 06:19:00,2024-03-09 09:02:00,88,163,1,Level 3,7,321.79
WF_79,Purchase Order,TASK_79,Review,High,Customer Service,EMP_28,2024-06-05 06:05:00,2024-06-05 08:24:00,139,139,0,Level 2,2,299.98
WF_80,IT Support Ticket,TASK_80,Data Entry,Critical,Finance,EMP_63,2024-10-30 21:47:00,2024-10-30 23:03:00,17,76,1,Level 1,6,286.49
WF_81,Invoice Approval,TASK_81,Approval,Medium,Operations,EMP_38,2024-01-26 11:14:00,2024-01-26 14:52:00,105,218,1,Level 2,9,393.35
WF_82,Invoice Approval,TASK_82,Review,Low,Operations,EMP_78,2024-01-04 15:44:00,2024-01-04 15:56:00,15,12,0,Level 1,4,415.23
WF_83,Customer Complaint,TASK_83,Data Entry,Low,Customer Service,EMP_129,2024-06-05 15:39:00,2024-06-05 17:04:00,77,85,1,Level 3,1,124.2
WF_84,Customer Complaint,TASK_84,Escalation,High,HR,EMP_59,2024-12-13 15:36:00,2024-12-13 17:42:00,78,126,1,Level 1,2,421.04
WF_85,Customer Complaint,TASK_85,Review,Low,Customer Service,EMP_143,2024-05-30 22:00:00,2024-05-31 00:50:00,124,170,1,Level 3,9,130.94
WF_86,Invoice Approval,TASK_86,Approval,High,IT,EMP_88,2024-03-05 21:43:00,2024-03-06 03:10:00,225,327,1,Level 2,9,283.09
WF_87,IT Support Ticket,TASK_87,Validation,High,Finance,EMP_28,2024-09-08 16:12:00,2024-09-08 19:30:00,124,198,1,Level 3,1,83.88
WF_88,IT Support Ticket,TASK_88,Validation,Low,IT,EMP_27,2024-02-17 18:01:00,2024-02-17 19:39:00,85,98,1,Level 3,1,225.67
WF_89,HR Onboarding,TASK_89,Escalation,Medium,HR,EMP_121,2024-03-13 20:11:00,2024-03-13 23:40:00,181,209,1,Level 3,8,172.21
WF_90,Customer Complaint,TASK_90,Approval,Critical,Operations,EMP_136,2024-12-18 13:22:00,2024-12-18 15:12:00,113,110,0,Level 3,6,364.89
WF_91,HR Onboarding,TASK_91,Review,High,Operations,EMP_124,2024-05-06 15:32:00,2024-05-06 16:35:00,36,63,1,Level 3,9,177.53
WF_92,Purchase Order,TASK_92,Data Entry,High,Customer Service,EMP_134,2024-07-07 07:17:00,2024-07-07 12:13:00,221,296,1,Level 2,8,260.11
WF_93,IT Support Ticket,TASK_93,Escalation,Medium,Customer Service,EMP_26,2024-11-15 03:48:00,2024-11-15 07:13:00,177,205,1,Level 1,7,481.12
WF_94,Invoice Approval,TASK_94,Approval,Medium,Finance,EMP_83,2024-09-20 17:49:00,2024-09-20 19:38:00,17,109,1,Level 1,5,65.1
WF_95,Purchase Order,TASK_95,Approval,Low,Customer Service,EMP_137,2024-04-10 17:49:00,2024-04-10 22:18:00,184,269,1,Level 1,9,209.72
WF_96,HR Onboarding,TASK_96,Escalation,High,HR,EMP_112,2024-10-22 11:10:00,2024-10-22 12:43:00,77,93,1,Level 3,1,130.12
WF_97,Purchase Order,TASK_97,Review,Medium,Customer Service,EMP_143,2024-01-21 15:02:00,2024-01-21 16:30:00,30,88,1,Level 3,5,174.12
WF_98,IT Support Ticket,TASK_98,Validation,High,IT,EMP_26,2024-05-23 12:42:00,2024-05-23 16:13:00,161,211,1,Level 2,8,411.13
WF_99,Invoice Approval,TASK_99,Validation,High,Finance,EMP_143,2024-03-29 22:10:00,2024-03-30 01:01:00,77,171,1,Level 2,6,113.26
WF_100,Purchase Order,TASK_100,Escalation,Medium,Operations,EMP_64,2024-11-17 05:34:00,2024-11-17 11:16:00,235,342,1,Level 2,3,161.09
WF_101,Invoice Approval,TASK_101,Review,Critical,IT,EMP_15,2024-06-09 01:21:00,2024-06-09 05:11:00,152,230,1,Level 3,5,375.96
WF_102,HR Onboarding,TASK_102,Approval,Medium,Customer Service,EMP_38,2024-06-16 06:07:00,2024-06-16 09:19:00,161,192,1,Level 1,3,431.74
WF_103,Customer Complaint,TASK_103,Data Entry,Low,Customer Service,EMP_37,2024-01-28 05:17:00,2024-01-28 09:58:00,176,281,1,Level 1,2,492.06
WF_104,Invoice Approval,TASK_104,Approval,Low,Customer Service,EMP_53,2024-08-09 03:32:00,2024-08-09 04:44:00,40,72,1,Level 1,6,104.17
WF_105,Customer Complaint,TASK_105,Review,High,IT,EMP_127,2024-04-20 20:13:00,2024-04-20 22:58:00,98,165,1,Level 1,9,418.01
WF_106,Invoice Approval,TASK_106,Approval,Low,Operations,EMP_124,2024-07-06 18:31:00,2024-07-06 22:09:00,213,218,1,Level 3,5,275.48
WF_107,Invoice Approval,TASK_107,Validation,Low,Operations,EMP_38,2024-01-27 02:52:00,2024-01-27 04:33:00,97,101,1,Level 2,3,138.36
WF_108,IT Support Ticket,TASK_108,Escalation,High,IT,EMP_80,2024-05-27 12:21:00,2024-05-27 14:11:00,50,110,1,Level 1,9,211.4
WF_109,Purchase Order,TASK_109,Approval,High,Customer Service,EMP_10,2024-03-23 18:18:00,2024-03-23 23:32:00,216,314,1,Level 3,8,361.12
WF_110,HR Onboarding,TASK_110,Review,Low,Operations,EMP_78,2024-10-23 09:27:00,2024-10-23 12:49:00,136,202,1,Level 2,6,155.22
WF_111,Invoice Approval,TASK_111,Validation,Critical,Customer Service,EMP_11,2024-06-30 00:42:00,2024-06-30 03:25:00,50,163,1,Level 1,9,387.75
WF_112,Customer Complaint,TASK_112,Approval,Low,HR,EMP_99,2024-12-01 22:48:00,2024-12-01 23:37:00,13,49,1,Level 2,3,234.36
WF_113,HR Onboarding,TASK_113,Data Entry,Medium,HR,EMP_90,2024-11-18 02:09:00,2024-11-18 06:33:00,207,264,1,Level 3,6,378.4
WF_114,Purchase Order,TASK_114,Validation,Medium,Operations,EMP_73,2024-01-11 03:12:00,2024-01-11 07:28:00,206,256,1,Level 1,10,404.91
WF_115,HR Onboarding,TASK_115,Review,Low,IT,EMP_129,2024-11-21 07:51:00,2024-11-21 10:09:00,93,138,1,Level 1,4,424.76
WF_116,IT Support Ticket,TASK_116,Escalation,Medium,Customer Service,EMP_11,2024-04-04 00:23:00,2024-04-04 04:56:00,156,273,1,Level 3,6,63.64
WF_117,Customer Complaint,TASK_117,Escalation,Low,IT,EMP_146,2024-03-09 01:48:00,2024-03-09 05:09:00,117,201,1,Level 2,1,145.69
WF_118,HR Onboarding,TASK_118,Escalation,Low,Finance,EMP_44,2024-02-17 00:08:00,2024-02-17 04:34:00,192,266,1,Level 1,10,282.42
WF_119,Purchase Order,TASK_119,Escalation,Critical,Customer Service,EMP_4,2024-10-12 12:41:00,2024-10-12 15:58:00,114,197,1,Level 2,7,147.5
WF_120,Purchase Order,TASK_120,Escalation,Medium,Customer Service,EMP_35,2024-02-03 00:16:00,2024-02-03 04:26:00,143,250,1,Level 1,6,310.88
WF_121,Invoice Approval,TASK_121,Validation,Critical,Finance,EMP_17,2024-05-17 20:13:00,2024-05-18 00:02:00,117,229,1,Level 1,7,351.16
WF_122,Purchase Order,TASK_122,Validation,Critical,Operations,EMP_92,2024-05-03 23:58:00,2024-05-04 04:50:00,227,292,1,Level 3,3,72.95
WF_123,Purchase Order,TASK_123,Review,Critical,Operations,EMP_34,2024-11-03 06:24:00,2024-11-03 10:26:00,132,242,1,Level 3,8,489.88
WF_124,Purchase Order,TASK_124,Escalation,Critical,Operations,EMP_1,2024-03-03 06:57:00,2024-03-03 09:18:00,55,141,1,Level 1,1,479.95
WF_125,IT Support Ticket,TASK_125,Escalation,High,HR,EMP_59,2024-01-03 03:15:00,2024-01-03 08:00:00,237,285,1,Level 1,7,367.89
WF_126,IT Support Ticket,TASK_126,Review,High,IT,EMP_141,2024-01-15 22:02:00,2024-01-16 02:15:00,174,253,1,Level 2,6,467.99
WF_127,HR Onboarding,TASK_127,Approval,Medium,Finance,EMP_147,2024-11-19 18:38:00,2024-11-19 22:30:00,233,232,0,Level 3,3,443.42
WF_128,HR Onboarding,TASK_128,Data Entry,High,IT,EMP_145,2024-06-27 18:02:00,2024-06-27 20:42:00,65,160,1,Level 1,5,180.84
WF_129,Customer Complaint,TASK_129,Approval,Low,Finance,EMP_106,2024-07-14 10:21:00,2024-07-14 12:09:00,93,108,1,Level 3,5,76.06
WF_130,Invoice Approval,TASK_130,Review,Critical,IT,EMP_88,2024-11-06 14:24:00,2024-11-06 18:01:00,157,217,1,Level 2,5,484.96
WF_131,Invoice Approval,TASK_131,Validation,Medium,HR,EMP_29,2024-05-09 10:20:00,2024-05-09 13:16:00,178,176,0,Level 2,3,269.91
WF_132,Invoice Approval,TASK_132,Review,Low,IT,EMP_141,2024-09-15 03:13:00,2024-09-15 05:19:00,97,126,1,Level 3,4,319.45
WF_133,HR Onboarding,TASK_133,Escalation,Medium,IT,EMP_36,2024-07-19 11:13:00,2024-07-19 12:36:00,72,83,1,Level 2,6,410.05
WF_134,Invoice Approval,TASK_134,Data Entry,High,HR,EMP_36,2024-04-12 11:16:00,2024-04-12 14:37:00,116,201,1,Level 1,8,400.61
WF_135,IT Support Ticket,TASK_135,Validation,Critical,HR,EMP_4,2024-11-12 08:55:00,2024-11-12 11:57:00,73,182,1,Level 3,10,358.97
WF_136,Purchase Order,TASK_136,Data Entry,Medium,IT,EMP_61,2024-03-02 22:08:00,2024-03-03 00:58:00,127,170,1,Level 1,3,58.7
WF_137,Purchase Order,TASK_137,Validation,Medium,Customer Service,EMP_47,2024-04-03 08:31:00,2024-04-03 11:17:00,148,166,1,Level 3,10,219.67
WF_138,HR Onboarding,TASK_138,Data Entry,Low,IT,EMP_94,2024-08-14 03:54:00,2024-08-14 07:02:00,104,188,1,Level 2,4,100.05
WF_139,Invoice Approval,TASK_139,Escalation,High,IT,EMP_113,2024-11-01 22:38:00,2024-11-02 01:58:00,141,200,1,Level 1,7,195.12
WF_140,Customer Complaint,TASK_140,Escalation,Critical,Customer Service,EMP_21,2024-07-23 08:47:00,2024-07-23 13:27:00,226,280,1,Level 3,6,347.58
WF_141,Invoice Approval,TASK_141,Escalation,Critical,Finance,EMP_72,2024-02-07 03:14:00,2024-02-07 07:04:00,150,230,1,Level 3,8,413.26
WF_142,Customer Complaint,TASK_142,Escalation,Low,Customer Service,EMP_62,2024-09-03 04:57:00,2024-09-03 06:12:00,10,75,1,Level 1,6,366.55
WF_143,IT Support Ticket,TASK_143,Review,Critical,Finance,EMP_72,2024-10-08 04:26:00,2024-10-08 08:30:00,172,244,1,Level 2,3,85.77
WF_144,IT Support Ticket,TASK_144,Review,Low,Finance,EMP_13,2024-10-12 18:38:00,2024-10-12 22:47:00,155,249,1,Level 2,7,430.32
WF_145,IT Support Ticket,TASK_145,Approval,High,IT,EMP_95,2024-06-12 13:41:00,2024-06-12 15:00:00,84,79,0,Level 3,2,118.78
WF_146,Invoice Approval,TASK_146,Review,Low,HR,EMP_38,2024-05-07 20:27:00,2024-05-08 02:19:00,236,352,1,Level 1,6,115.31
WF_147,Invoice Approval,TASK_147,Data Entry,Critical,Operations,EMP_102,2024-01-18 14:03:00,2024-01-18 17:50:00,179,227,1,Level 1,2,295.18
WF_148,Customer Complaint,TASK_148,Data Entry,Medium,Finance,EMP_118,2024-10-10 15:49:00,2024-10-10 20:25:00,188,276,1,Level 3,4,221.35
WF_149,Customer Complaint,TASK_149,Review,Low,Finance,EMP_117,2024-06-24 07:05:00,2024-06-24 11:11:00,174,246,1,Level 2,7,80.1
WF_150,Invoice Approval,TASK_150,Review,Low,IT,EMP_74,2024-04-08 21:58:00,2024-04-08 23:48:00,53,110,1,Level 1,3,471.22
WF_151,IT Support Ticket,TASK_151,Escalation,Critical,Finance,EMP_20,2024-12-13 18:56:00,2024-12-13 23:31:00,157,275,1,Level 3,1,298.23
WF_152,Invoice Approval,TASK_152,Review,Low,Finance,EMP_73,2024-01-01 03:46:00,2024-01-01 06:43:00,163,177,1,Level 3,6,293.52
WF_153,HR Onboarding,TASK_153,Validation,Critical,Finance,EMP_133,2024-09-16 15:49:00,2024-09-16 18:05:00,82,136,1,Level 2,3,205.91
WF_154,Customer Complaint,TASK_154,Data Entry,High,Operations,EMP_16,2024-08-19 07:44:00,2024-08-19 12:19:00,156,275,1,Level 2,8,326.32
WF_155,Customer Complaint,TASK_155,Validation,Low,HR,EMP_9,2024-06-26 21:47:00,2024-06-27 02:18:00,235,271,1,Level 1,8,328.17
WF_156,HR Onboarding,TASK_156,Review,Low,IT,EMP_26,2024-07-07 14:47:00,2024-07-07 20:10:00,206,323,1,Level 1,2,282.46
WF_157,Purchase Order,TASK_157,Escalation,Low,HR,EMP_54,2024-02-02 17:28:00,2024-02-02 20:27:00,143,179,1,Level 1,3,79.54
WF_158,HR Onboarding,TASK_158,Review,Low,HR,EMP_5,2024-03-21 18:28:00,2024-03-21 20:31:00,27,123,1,Level 2,2,364.1
WF_159,Purchase Order,TASK_159,Approval,Low,Finance,EMP_16,2024-03-15 07:44:00,2024-03-15 11:45:00,123,241,1,Level 2,2,119.18
WF_160,Customer Complaint,TASK_160,Data Entry,Critical,Operations,EMP_54,2024-02-17 19:37:00,2024-02-17 23:58:00,213,261,1,Level 2,2,57.55
WF_161,Customer Complaint,TASK_161,Data Entry,Low,Operations,EMP_101,2024-02-01 05:22:00,2024-02-01 07:37:00,64,135,1,Level 3,7,444.4
WF_162,Purchase Order,TASK_162,Data Entry,High,Customer Service,EMP_109,2024-06-05 19:22:00,2024-06-06 00:00:00,162,278,1,Level 2,7,273.51
WF_163,IT Support Ticket,TASK_163,Data Entry,Low,Operations,EMP_81,2024-02-25 23:24:00,2024-02-26 00:25:00,48,61,1,Level 2,1,55.58
WF_164,IT Support Ticket,TASK_164,Validation,Low,Customer Service,EMP_69,2024-10-11 01:19:00,2024-10-11 02:18:00,17,59,1,Level 3,7,371.13
WF_165,IT Support Ticket,TASK_165,Escalation,Critical,Customer Service,EMP_132,2024-06-15 19:32:00,2024-06-15 22:07:00,108,155,1,Level 3,1,288.11
WF_166,Customer Complaint,TASK_166,Escalation,Critical,Finance,EMP_106,2024-03-11 01:56:00,2024-03-11 06:25:00,201,269,1,Level 2,3,329.26
WF_167,HR Onboarding,TASK_167,Data Entry,High,Customer Service,EMP_25,2024-01-16 18:45:00,2024-01-16 21:31:00,141,166,1,Level 2,3,481.28
WF_168,Purchase Order,TASK_168,Validation,High,HR,EMP_122,2024-10-31 11:56:00,2024-10-31 13:39:00,95,103,1,Level 2,4,495.69
WF_169,HR Onboarding,TASK_169,Escalation,High,HR,EMP_139,2024-04-18 16:24:00,2024-04-18 18:58:00,159,154,0,Level 3,8,285.58
WF_170,IT Support Ticket,TASK_170,Validation,Critical,Operations,EMP_22,2024-05-29 01:24:00,2024-05-29 07:13:00,238,349,1,Level 2,7,177.94
WF_171,IT Support Ticket,TASK_171,Escalation,Low,Finance,EMP_108,2024-04-05 16:13:00,2024-04-05 19:35:00,117,202,1,Level 2,1,188.28
WF_172,IT Support Ticket,TASK_172,Validation,Medium,HR,EMP_83,2024-09-12 12:17:00,2024-09-12 13:50:00,75,93,1,Level 3,8,314.64
WF_173,IT Support Ticket,TASK_173,Data Entry,High,Operations,EMP_126,2024-12-10 12:20:00,2024-12-10 14:28:00,61,128,1,Level 3,2,403.15
